,Title,Rating,Genres
tt0111161,The Shawshank Redemption,9.3,['Drama']
tt0068646,The Godfather,9.2,"['Crime', 'Drama']"
tt0468569,The Dark Knight,9.0,"['Action', 'Crime', 'Drama']"
tt0071562,The Godfather Part II,9.0,"['Crime', 'Drama']"
tt0050083,12 Angry Men,9.0,"['Crime', 'Drama']"
tt0108052,Schindler's List,9.0,"['Biography', 'Drama', 'History']"
tt0167260,The Lord of the Rings: The Return of the King,9.0,"['Action', 'Adventure', 'Drama']"
tt0110912,Pulp Fiction,8.9,"['Crime', 'Drama']"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,"['Action', 'Adventure', 'Drama']"
tt0060196,"The Good, the Bad and the Ugly",8.8,"['Adventure', 'Western']"
tt0109830,Forrest Gump,8.8,"['Drama', 'Romance']"
tt0137523,Fight Club,8.8,['Drama']
tt0167261,The Lord of the Rings: The Two Towers,8.8,"['Action', 'Adventure', 'Drama']"
tt1375666,Inception,8.8,"['Action', 'Adventure', 'Sci-Fi']"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,"['Action', 'Adventure', 'Fantasy']"
tt0133093,The Matrix,8.7,"['Action', 'Sci-Fi']"
tt0099685,Goodfellas,8.7,"['Biography', 'Crime', 'Drama']"
tt0073486,One Flew Over the Cuckoo's Nest,8.7,['Drama']
tt0114369,Se7en,8.6,"['Crime', 'Drama', 'Mystery']"
tt0047478,Seven Samurai,8.6,"['Action', 'Drama']"
tt0038650,It's a Wonderful Life,8.6,"['Drama', 'Family', 'Fantasy']"
tt0102926,The Silence of the Lambs,8.6,"['Crime', 'Drama', 'Thriller']"
tt0120815,Saving Private Ryan,8.6,"['Drama', 'War']"
tt0317248,City of God,8.6,"['Crime', 'Drama']"
tt0816692,Interstellar,8.6,"['Adventure', 'Drama', 'Sci-Fi']"
tt0118799,Life Is Beautiful,8.6,"['Comedy', 'Drama', 'Romance']"
tt0120689,The Green Mile,8.6,"['Crime', 'Drama', 'Fantasy']"
tt0076759,Star Wars: Episode IV - A New Hope,8.6,"['Action', 'Adventure', 'Fantasy']"
tt0103064,Terminator 2: Judgment Day,8.6,"['Action', 'Sci-Fi']"
tt0088763,Back to the Future,8.5,"['Adventure', 'Comedy', 'Sci-Fi']"
tt0245429,Spirited Away,8.6,"['Animation', 'Adventure', 'Family']"
tt0253474,The Pianist,8.5,"['Biography', 'Drama', 'Music']"
tt0054215,Psycho,8.5,"['Horror', 'Mystery', 'Thriller']"
tt6751668,Parasite,8.5,"['Drama', 'Thriller']"
tt0110413,Léon: The Professional,8.5,"['Action', 'Crime', 'Drama']"
tt0110357,The Lion King,8.5,"['Animation', 'Adventure', 'Drama']"
tt0172495,Gladiator,8.5,"['Action', 'Adventure', 'Drama']"
tt0120586,American History X,8.5,"['Crime', 'Drama']"
tt0407887,The Departed,8.5,"['Crime', 'Drama', 'Thriller']"
tt0114814,The Usual Suspects,8.5,"['Crime', 'Drama', 'Mystery']"
tt0482571,The Prestige,8.5,"['Drama', 'Mystery', 'Sci-Fi']"
tt2582802,Whiplash,8.5,"['Drama', 'Music']"
tt0034583,Casablanca,8.5,"['Drama', 'Romance', 'War']"
tt0095327,Grave of the Fireflies,8.5,"['Animation', 'Drama', 'War']"
tt0056058,Harakiri,8.6,"['Action', 'Drama', 'Mystery']"
tt1675434,The Intouchables,8.5,"['Biography', 'Comedy', 'Drama']"
tt0027977,Modern Times,8.5,"['Comedy', 'Drama', 'Romance']"
tt0064116,Once Upon a Time in the West,8.5,['Western']
tt0095765,Cinema Paradiso,8.5,"['Drama', 'Romance']"
tt0047396,Rear Window,8.5,"['Mystery', 'Thriller']"
tt0078748,Alien,8.5,"['Horror', 'Sci-Fi']"
tt0021749,City Lights,8.5,"['Comedy', 'Drama', 'Romance']"
tt0078788,Apocalypse Now,8.5,"['Drama', 'Mystery', 'War']"
tt0209144,Memento,8.4,"['Mystery', 'Thriller']"
tt1853728,Django Unchained,8.4,"['Drama', 'Western']"
tt0082971,Indiana Jones and the Raiders of the Lost Ark,8.4,"['Action', 'Adventure']"
tt0910970,WALL·E,8.4,"['Animation', 'Adventure', 'Family']"
tt0405094,The Lives of Others,8.4,"['Drama', 'Mystery', 'Thriller']"
tt0043014,Sunset Blvd.,8.4,"['Drama', 'Film-Noir']"
tt0050825,Paths of Glory,8.4,"['Drama', 'War']"
tt0081505,The Shining,8.4,"['Drama', 'Horror']"
tt0032553,The Great Dictator,8.4,"['Comedy', 'Drama', 'War']"
tt4154756,Avengers: Infinity War,8.4,"['Action', 'Adventure', 'Sci-Fi']"
tt0051201,Witness for the Prosecution,8.4,"['Crime', 'Drama', 'Mystery']"
tt0090605,Aliens,8.4,"['Action', 'Adventure', 'Sci-Fi']"
tt4633694,Spider-Man: Into the Spider-Verse,8.4,"['Animation', 'Action', 'Adventure']"
tt0169547,American Beauty,8.4,['Drama']
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,"['Comedy', 'War']"
tt1345836,The Dark Knight Rises,8.4,"['Action', 'Drama', 'Thriller']"
tt0364569,Oldboy,8.4,"['Action', 'Drama', 'Mystery']"
tt0361748,Inglourious Basterds,8.3,"['Adventure', 'Drama', 'War']"
tt0086879,Amadeus,8.4,"['Biography', 'Drama', 'Music']"
tt2380307,Coco,8.4,"['Animation', 'Adventure', 'Comedy']"
tt0114709,Toy Story,8.3,"['Animation', 'Adventure', 'Comedy']"
tt7286456,Joker,8.4,"['Crime', 'Drama', 'Thriller']"
tt0112573,Braveheart,8.4,"['Biography', 'Drama', 'History']"
tt0082096,The Boat,8.4,"['Drama', 'War']"
tt4154796,Avengers: Endgame,8.4,"['Action', 'Adventure', 'Drama']"
tt0119698,Princess Mononoke,8.4,"['Animation', 'Action', 'Adventure']"
tt0087843,Once Upon a Time in America,8.3,"['Crime', 'Drama']"
tt0119217,Good Will Hunting,8.3,"['Drama', 'Romance']"
tt5311514,Your Name.,8.4,"['Animation', 'Drama', 'Fantasy']"
tt0045152,Singin' in the Rain,8.3,"['Comedy', 'Musical', 'Romance']"
tt1187043,3 Idiots,8.4,"['Comedy', 'Drama']"
tt0180093,Requiem for a Dream,8.3,['Drama']
tt0057565,High and Low,8.4,"['Crime', 'Drama', 'Mystery']"
tt0435761,Toy Story 3,8.3,"['Animation', 'Adventure', 'Comedy']"
tt8267604,Capernaum,8.4,['Drama']
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,"['Action', 'Adventure', 'Fantasy']"
tt0062622,2001: A Space Odyssey,8.3,"['Adventure', 'Sci-Fi']"
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,"['Drama', 'Romance', 'Sci-Fi']"
tt0105236,Reservoir Dogs,8.3,"['Crime', 'Thriller']"
tt0091251,Come and See,8.4,"['Drama', 'Thriller', 'War']"
